Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
15	0	8	3	231	1	189	214	128	128	128	128	128	128	128	128	0	9	
15	1	8	0	199	1	210	220	128	128	128	128	128	128	128	128	0	17	
15	2	8	0	99	1	135	236	128	128	128	128	128	128	128	128	0	11	
15	3	8	0	9	1	145	225	128	128	128	128	128	128	128	128	0	11	
15	4	8	0	1	1	36	159	116	229	116	229	116	229	116	229	0	18	
15	5	8	0	0	1	120	164	132	166	132	166	132	166	132	166	0	10	
15	6	4	0	0	5	112	93	126	126	126	126	126	126	126	126	0	8	
15	7	4	0	0	10	109	108	130	45	130	45	130	45	130	45	0	8	
15	8	2	0	0	25	255	91	131	59	131	59	131	59	131	59	0	31	
15	9	1	0	0	40	48	100	17	80	17	80	17	80	17	80	0	37	
15	16	8	3	231	1	189	214	128	128	128	128	128	128	128	128	0	9	
15	17	8	0	9	1	145	225	128	128	128	128	128	128	128	128	0	11	
15	18	8	0	0	1	120	164	132	166	132	166	132	166	132	166	0	10	
15	19	4	0	0	5	112	93	126	126	126	126	126	126	126	126	0	8	
